,Country,Year,Indicator:Maternal mortality ratio (per 100 000 live births),Type_of_Medicine,Measure,Total_Sales_Value
14578,Greece,2012,3,C01A-Cardiac glycosides,"Million US$, purchasing power parity",1.7
14579,Greece,2012,3,C02-Antihypertensives,"Million US$, purchasing power parity",47.2
14580,Greece,2012,3,C02-Antihypertensives,Million US$ at exchange rate,41.5
14581,Greece,2012,3,A02A-Antacids,"/capita, US$ purchasing power parity",0.7
14582,Greece,2012,3,C02-Antihypertensives,"/capita, US$ purchasing power parity",4.3
14583,Greece,2012,3,C02-Antihypertensives,"/capita, US$ exchange rate",3.8
14584,Greece,2012,3,A02A-Antacids,"Million US$, purchasing power parity",7.8
14585,Greece,2012,3,A02A-Antacids,Million US$ at exchange rate,6.9
14586,Greece,2012,3,A02A-Antacids,"/capita, US$ exchange rate",0.6
14587,Greece,2012,3,C03-Diuretics,"Million US$, purchasing power parity",53.9
14588,Greece,2012,3,A-Alimentary tract and metabolism,"/capita, US$ exchange rate",78.9
14589,Greece,2012,3,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,5.8
14590,Greece,2012,3,C07-Beta blocking agents,"/capita, US$ purchasing power parity",10.6
14591,Greece,2012,3,C03-Diuretics,Million of national currency units,36.9
14592,Greece,2012,3,C07-Beta blocking agents,"/capita, US$ exchange rate",9.3
14593,Greece,2012,3,C03-Diuretics,Million US$ at exchange rate,47.4
14594,Greece,2012,3,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",89.7
14595,Greece,2012,3,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",9.1
14596,Greece,2012,3,C08-Calcium channel blockers,Million US$ at exchange rate,88.4
14597,Greece,2012,3,C08-Calcium channel blockers,"Million US$, purchasing power parity",100.5
14598,Greece,2012,3,C08-Calcium channel blockers,"/capita, US$ exchange rate",8.0
14599,Greece,2012,3,C03-Diuretics,"/capita, US$ exchange rate",4.3
14600,Greece,2011,3,N02-Analgesics,Million of national currency units,80.9
14601,Greece,2011,3,N05B-Anxiolytics,Million US$ at exchange rate,31.4
14602,Greece,2011,3,N05B-Anxiolytics,Million of national currency units,22.6
14603,Greece,2011,3,M01A-Antiinflammatory and antirheumatic products non-steroids,Million of national currency units,83.3
14604,Greece,2011,3,M01A-Antiinflammatory and antirheumatic products non-steroids,Million US$ at exchange rate,115.9
14605,Greece,2011,3,N05B-Anxiolytics,"Million US$, purchasing power parity",31.7
14606,Greece,2011,3,N05B-Anxiolytics,"/capita, US$ purchasing power parity",2.9
14607,Greece,2011,3,N05B-Anxiolytics,"/capita, US$ exchange rate",2.8
14608,Greece,2011,3,N02-Analgesics,Million US$ at exchange rate,112.7
14609,Greece,2011,3,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",87.6
14610,Greece,2011,3,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",86.9
14611,Greece,2011,3,R03-Drugs for obstructive airway diseases,Million US$ at exchange rate,438.4
14612,Greece,2011,3,R03-Drugs for obstructive airway diseases,Million of national currency units,315.0
14613,Greece,2011,3,N02-Analgesics,"Million US$, purchasing power parity",113.5
14614,Greece,2011,3,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",972.4
14615,Greece,2011,3,N02-Analgesics,"/capita, US$ exchange rate",10.1
14616,Greece,2011,3,N02-Analgesics,"/capita, US$ purchasing power parity",10.2
14617,Greece,2011,3,J-Antiinfectives for systemic use,Million US$ at exchange rate,965.3
14618,Greece,2011,3,J-Antiinfectives for systemic use,Million of national currency units,693.5
14619,Greece,2011,3,B-Blood and blood forming organs,"Million US$, purchasing power parity",812.5
14620,Greece,2011,3,B-Blood and blood forming organs,Million US$ at exchange rate,806.5
14621,Greece,2011,3,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",73.2
14622,Greece,2011,3,B-Blood and blood forming organs,"/capita, US$ exchange rate",72.6
14623,Greece,2011,3,R03-Drugs for obstructive airway diseases,"/capita, US$ exchange rate",39.5
14624,Greece,2011,3,B-Blood and blood forming organs,Million of national currency units,579.4
14625,Greece,2011,3,R03-Drugs for obstructive airway diseases,"Million US$, purchasing power parity",441.7
14626,Greece,2011,3,R03-Drugs for obstructive airway diseases,"/capita, US$ purchasing power parity",39.8
14627,Greece,2011,3,M-Musculo-skeletal system,Million of national currency units,275.8
14628,Greece,2011,3,R-Respiratory system,Million of national currency units,451.6
14629,Greece,2011,3,M-Musculo-skeletal system,"Million US$, purchasing power parity",386.7
14630,Greece,2011,3,M-Musculo-skeletal system,Million US$ at exchange rate,383.9
14631,Greece,2011,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"Million US$, purchasing power parity",371.2
14632,Greece,2011,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million US$ at exchange rate,368.5
14633,Greece,2011,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ purchasing power parity",33.4
14634,Greece,2011,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ exchange rate",33.2
14635,Greece,2011,3,R-Respiratory system,Million US$ at exchange rate,628.6
14636,Greece,2011,3,G03-Sex hormones and modulators of the genital system,"/capita, US$ purchasing power parity",8.2
14637,Greece,2011,3,R-Respiratory system,"/capita, US$ exchange rate",56.6
14638,Greece,2011,3,R-Respiratory system,"Million US$, purchasing power parity",633.2
14639,Greece,2011,3,G03-Sex hormones and modulators of the genital system,Million US$ at exchange rate,90.9
14640,Greece,2011,3,G03-Sex hormones and modulators of the genital system,Million of national currency units,65.3
14641,Greece,2011,3,G03-Sex hormones and modulators of the genital system,"/capita, US$ exchange rate",8.2
14642,Greece,2011,3,G03-Sex hormones and modulators of the genital system,"Million US$, purchasing power parity",91.6
14643,Greece,2011,3,G-Genito urinary system and sex hormones,Million of national currency units,191.1
14644,Greece,2011,3,N-Nervous system,"/capita, US$ purchasing power parity",115.4
14645,Greece,2011,3,G-Genito urinary system and sex hormones,"Million US$, purchasing power parity",268.0
14646,Greece,2011,3,G-Genito urinary system and sex hormones,Million US$ at exchange rate,266.0
14647,Greece,2011,3,N-Nervous system,Million US$ at exchange rate,1272.3
14648,Greece,2011,3,N-Nervous system,"Million US$, purchasing power parity",1281.7
14649,Greece,2011,3,N-Nervous system,"/capita, US$ exchange rate",114.6
14650,Greece,2011,3,N-Nervous system,Million of national currency units,914.1
14651,Greece,2011,3,N06A-Antidepressants,"Million US$, purchasing power parity",218.9
14652,Greece,2011,3,N06A-Antidepressants,"/capita, US$ exchange rate",19.6
14653,Greece,2011,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million of national currency units,264.7
14654,Greece,2011,3,N06A-Antidepressants,Million of national currency units,156.1
14655,Greece,2011,3,N06A-Antidepressants,Million US$ at exchange rate,217.3
14656,Greece,2011,3,G-Genito urinary system and sex hormones,"/capita, US$ purchasing power parity",24.1
14657,Greece,2011,3,G-Genito urinary system and sex hormones,"/capita, US$ exchange rate",24.0
14658,Greece,2011,3,N06A-Antidepressants,"/capita, US$ purchasing power parity",19.7
14659,Greece,2011,3,A10-Drugs used in diabetes,Million of national currency units,277.3
14660,Greece,2011,3,J01-Antibacterials for systemic use,"/capita, US$ exchange rate",42.7
14661,Greece,2011,3,J01-Antibacterials for systemic use,"Million US$, purchasing power parity",477.7
14662,Greece,2011,3,J01-Antibacterials for systemic use,Million US$ at exchange rate,474.2
14663,Greece,2011,3,A10-Drugs used in diabetes,"/capita, US$ exchange rate",34.8
14664,Greece,2011,3,A10-Drugs used in diabetes,"/capita, US$ purchasing power parity",35.0
14665,Greece,2011,3,J01-Antibacterials for systemic use,"/capita, US$ purchasing power parity",43.0
14666,Greece,2011,3,J01-Antibacterials for systemic use,Million of national currency units,340.7
14667,Greece,2011,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ purchasing power parity",19.8
14668,Greece,2011,3,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ purchasing power parity",10.5
14669,Greece,2011,3,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ exchange rate",10.4
14670,Greece,2011,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million US$ at exchange rate,218.8
14671,Greece,2011,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million of national currency units,157.2
14672,Greece,2011,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ exchange rate",19.7
14673,Greece,2011,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins","Million US$, purchasing power parity",220.4
14674,Greece,2011,3,M01A-Antiinflammatory and antirheumatic products non-steroids,"Million US$, purchasing power parity",116.8
14675,Greece,2011,3,A10-Drugs used in diabetes,"Million US$, purchasing power parity",388.9
14676,Greece,2011,3,C10-Lipid modifying agents,"/capita, US$ exchange rate",60.2
14677,Greece,2011,3,C10-Lipid modifying agents,"/capita, US$ purchasing power parity",60.6
14678,Greece,2011,3,C10-Lipid modifying agents,Million US$ at exchange rate,668.5
14679,Greece,2011,3,C10-Lipid modifying agents,"Million US$, purchasing power parity",673.5
14680,Greece,2011,3,R-Respiratory system,"/capita, US$ purchasing power parity",57.0
14681,Greece,2011,3,M-Musculo-skeletal system,"/capita, US$ exchange rate",34.6
14682,Greece,2011,3,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",34.8
14683,Greece,2011,3,N05C-Hypnotics and sedatives,Million US$ at exchange rate,14.2
14684,Greece,2011,3,N05C-Hypnotics and sedatives,Million of national currency units,10.2
14685,Greece,2011,3,A10-Drugs used in diabetes,Million US$ at exchange rate,386.1
14686,Greece,2011,3,N05C-Hypnotics and sedatives,"/capita, US$ purchasing power parity",1.3
14687,Greece,2011,3,C10-Lipid modifying agents,Million of national currency units,480.3
14688,Greece,2011,3,N05C-Hypnotics and sedatives,"Million US$, purchasing power parity",14.3
14689,Greece,2011,3,N05C-Hypnotics and sedatives,"/capita, US$ exchange rate",1.3
14690,Greece,2011,3,C-Cardiovascular system,"Million US$, purchasing power parity",1843.2
14691,Greece,2011,3,C-Cardiovascular system,"/capita, US$ exchange rate",164.8
14692,Greece,2011,3,C09-Agents acting on the Renin-Angiotensin system,Million of national currency units,523.1
14693,Greece,2011,3,C-Cardiovascular system,Million of national currency units,1314.5
14694,Greece,2011,3,C-Cardiovascular system,Million US$ at exchange rate,1829.7
14695,Greece,2011,3,C03-Diuretics,"/capita, US$ purchasing power parity",4.5
14696,Greece,2011,3,C01A-Cardiac glycosides,"/capita, US$ purchasing power parity",0.1
14697,Greece,2011,3,C-Cardiovascular system,"/capita, US$ purchasing power parity",166.0
14698,Greece,2011,3,"C01B-Antiarrhythmics, Class I and III","/capita, US$ exchange rate",0.8
14699,Greece,2011,3,"C01B-Antiarrhythmics, Class I and III","/capita, US$ purchasing power parity",0.8
14700,Greece,2011,3,"C01B-Antiarrhythmics, Class I and III","Million US$, purchasing power parity",8.7
14701,Greece,2011,3,"C01B-Antiarrhythmics, Class I and III",Million US$ at exchange rate,8.7
14702,Greece,2011,3,A-Alimentary tract and metabolism,Million of national currency units,743.9
14703,Greece,2011,3,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ exchange rate",65.6
14704,Greece,2011,3,C09-Agents acting on the Renin-Angiotensin system,"Million US$, purchasing power parity",733.5
14705,Greece,2011,3,C09-Agents acting on the Renin-Angiotensin system,Million US$ at exchange rate,728.2
14706,Greece,2011,3,A-Alimentary tract and metabolism,"Million US$, purchasing power parity",1043.1
14707,Greece,2011,3,A-Alimentary tract and metabolism,"/capita, US$ exchange rate",93.2
14708,Greece,2011,3,A02A-Antacids,Million of national currency units,6.0
14709,Greece,2011,3,C07-Beta blocking agents,Million of national currency units,81.7
14710,Greece,2011,3,C07-Beta blocking agents,Million US$ at exchange rate,113.7
14711,Greece,2011,3,A-Alimentary tract and metabolism,Million US$ at exchange rate,1035.5
14712,Greece,2011,3,C01A-Cardiac glycosides,Million US$ at exchange rate,1.6
14713,Greece,2011,3,C02-Antihypertensives,Million of national currency units,39.3
14714,Greece,2011,3,C01A-Cardiac glycosides,Million of national currency units,1.2
14715,Greece,2011,3,C07-Beta blocking agents,"Million US$, purchasing power parity",114.5
14716,Greece,2011,3,C01A-Cardiac glycosides,"Million US$, purchasing power parity",1.6
14717,Greece,2011,3,C02-Antihypertensives,"Million US$, purchasing power parity",55.1
14718,Greece,2011,3,C02-Antihypertensives,Million US$ at exchange rate,54.7
14719,Greece,2011,3,A02A-Antacids,"/capita, US$ purchasing power parity",0.8
14720,Greece,2011,3,C02-Antihypertensives,"/capita, US$ exchange rate",4.9
14721,Greece,2011,3,C02-Antihypertensives,"/capita, US$ purchasing power parity",5.0
14722,Greece,2011,3,A02A-Antacids,"Million US$, purchasing power parity",8.4
14723,Greece,2011,3,A02A-Antacids,Million US$ at exchange rate,8.4
14724,Greece,2011,3,A02A-Antacids,"/capita, US$ exchange rate",0.8
14725,Greece,2011,3,C01A-Cardiac glycosides,"/capita, US$ exchange rate",0.1
14726,Greece,2011,3,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ purchasing power parity",66.1
14727,Greece,2011,3,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",93.9
14728,Greece,2011,3,C03-Diuretics,"Million US$, purchasing power parity",50.1
14729,Greece,2011,3,C08-Calcium channel blockers,Million of national currency units,77.7
14730,Greece,2011,3,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,6.2
14731,Greece,2011,3,C07-Beta blocking agents,"/capita, US$ purchasing power parity",10.3
14732,Greece,2011,3,C07-Beta blocking agents,"/capita, US$ exchange rate",10.2
14733,Greece,2011,3,C03-Diuretics,Million of national currency units,35.7
14734,Greece,2011,3,C03-Diuretics,Million US$ at exchange rate,49.7
14735,Greece,2011,3,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",9.8
14736,Greece,2011,3,C08-Calcium channel blockers,"/capita, US$ exchange rate",9.7
14737,Greece,2011,3,C08-Calcium channel blockers,Million US$ at exchange rate,108.1
14738,Greece,2011,3,C08-Calcium channel blockers,"Million US$, purchasing power parity",108.9
14739,Greece,2011,3,C03-Diuretics,"/capita, US$ exchange rate",4.5
14740,Greece,2010,3,N02-Analgesics,Million of national currency units,76.5
14741,Greece,2010,3,N05B-Anxiolytics,Million US$ at exchange rate,29.5
14742,Greece,2010,3,N05B-Anxiolytics,Million of national currency units,22.3
14743,Greece,2010,3,M01A-Antiinflammatory and antirheumatic products non-steroids,Million of national currency units,101.4
14744,Greece,2010,3,M01A-Antiinflammatory and antirheumatic products non-steroids,Million US$ at exchange rate,134.5
14745,Greece,2010,3,N05B-Anxiolytics,"Million US$, purchasing power parity",30.8
14746,Greece,2010,3,N05B-Anxiolytics,"/capita, US$ exchange rate",2.7
14747,Greece,2010,3,N05B-Anxiolytics,"/capita, US$ purchasing power parity",2.8
14748,Greece,2010,3,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",93.2
14749,Greece,2010,3,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",89.2
14750,Greece,2010,3,R03-Drugs for obstructive airway diseases,Million US$ at exchange rate,427.1
14751,Greece,2010,3,R03-Drugs for obstructive airway diseases,Million of national currency units,322.2
14752,Greece,2010,3,N02-Analgesics,"Million US$, purchasing power parity",106.0
14753,Greece,2010,3,N02-Analgesics,"/capita, US$ exchange rate",9.1
14754,Greece,2010,3,N02-Analgesics,"/capita, US$ purchasing power parity",9.5
14755,Greece,2010,3,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",1036.8
14756,Greece,2010,3,J-Antiinfectives for systemic use,Million US$ at exchange rate,992.4
14757,Greece,2010,3,J-Antiinfectives for systemic use,Million of national currency units,748.6
14758,Greece,2010,3,B-Blood and blood forming organs,"Million US$, purchasing power parity",891.6
14759,Greece,2010,3,B-Blood and blood forming organs,Million US$ at exchange rate,853.4
14760,Greece,2010,3,N02-Analgesics,Million US$ at exchange rate,101.4
14761,Greece,2010,3,B-Blood and blood forming organs,"/capita, US$ purchasing power parity",80.2
14762,Greece,2010,3,B-Blood and blood forming organs,"/capita, US$ exchange rate",76.7
14763,Greece,2010,3,R03-Drugs for obstructive airway diseases,"/capita, US$ exchange rate",38.4
14764,Greece,2010,3,B-Blood and blood forming organs,Million of national currency units,643.7
14765,Greece,2010,3,R03-Drugs for obstructive airway diseases,"Million US$, purchasing power parity",446.2
14766,Greece,2010,3,R03-Drugs for obstructive airway diseases,"/capita, US$ purchasing power parity",40.1
14767,Greece,2010,3,M01A-Antiinflammatory and antirheumatic products non-steroids,"Million US$, purchasing power parity",140.5
14768,Greece,2010,3,M-Musculo-skeletal system,Million of national currency units,317.4
14769,Greece,2010,3,R-Respiratory system,Million of national currency units,459.6
14770,Greece,2010,3,M-Musculo-skeletal system,"Million US$, purchasing power parity",439.6
14771,Greece,2010,3,M-Musculo-skeletal system,Million US$ at exchange rate,420.8
14772,Greece,2010,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"Million US$, purchasing power parity",444.8
14773,Greece,2010,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million US$ at exchange rate,425.8
14774,Greece,2010,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ purchasing power parity",40.0
14775,Greece,2010,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),"/capita, US$ exchange rate",38.3
14776,Greece,2010,3,G03-Sex hormones and modulators of the genital system,Million of national currency units,67.5
14777,Greece,2010,3,R-Respiratory system,Million US$ at exchange rate,609.3
14778,Greece,2010,3,G03-Sex hormones and modulators of the genital system,"/capita, US$ purchasing power parity",8.4
14779,Greece,2010,3,R-Respiratory system,"/capita, US$ exchange rate",54.8
14780,Greece,2010,3,R-Respiratory system,"Million US$, purchasing power parity",636.5
14781,Greece,2010,3,G03-Sex hormones and modulators of the genital system,Million US$ at exchange rate,89.4
14782,Greece,2010,3,G03-Sex hormones and modulators of the genital system,"/capita, US$ exchange rate",8.0
14783,Greece,2010,3,G03-Sex hormones and modulators of the genital system,"Million US$, purchasing power parity",93.4
14784,Greece,2010,3,G-Genito urinary system and sex hormones,Million of national currency units,211.3
14785,Greece,2010,3,N-Nervous system,"/capita, US$ purchasing power parity",130.0
14786,Greece,2010,3,G-Genito urinary system and sex hormones,"Million US$, purchasing power parity",292.6
14787,Greece,2010,3,G-Genito urinary system and sex hormones,Million US$ at exchange rate,280.1
14788,Greece,2010,3,N-Nervous system,Million US$ at exchange rate,1383.9
14789,Greece,2010,3,N-Nervous system,"Million US$, purchasing power parity",1445.8
14790,Greece,2010,3,N-Nervous system,"/capita, US$ exchange rate",124.4
14791,Greece,2010,3,N-Nervous system,Million of national currency units,1043.9
14792,Greece,2010,3,N06A-Antidepressants,"Million US$, purchasing power parity",258.4
14793,Greece,2010,3,N06A-Antidepressants,"/capita, US$ exchange rate",22.2
14794,Greece,2010,3,A02B-Drugs for peptic ulcer and gastro-oesophageal reflux diseases (GORD),Million of national currency units,321.2
14795,Greece,2010,3,N06A-Antidepressants,Million of national currency units,186.6
14796,Greece,2010,3,N06A-Antidepressants,Million US$ at exchange rate,247.4
14797,Greece,2010,3,G-Genito urinary system and sex hormones,"/capita, US$ purchasing power parity",26.3
14798,Greece,2010,3,G-Genito urinary system and sex hormones,"/capita, US$ exchange rate",25.2
14799,Greece,2010,3,N06A-Antidepressants,"/capita, US$ purchasing power parity",23.2
14800,Greece,2010,3,A10-Drugs used in diabetes,Million of national currency units,303.2
14801,Greece,2010,3,J01-Antibacterials for systemic use,"/capita, US$ exchange rate",43.6
14802,Greece,2010,3,J01-Antibacterials for systemic use,"Million US$, purchasing power parity",507.1
14803,Greece,2010,3,J01-Antibacterials for systemic use,Million US$ at exchange rate,485.4
14804,Greece,2010,3,A10-Drugs used in diabetes,"/capita, US$ exchange rate",36.1
14805,Greece,2010,3,J01-Antibacterials for systemic use,"/capita, US$ purchasing power parity",45.6
14806,Greece,2010,3,A10-Drugs used in diabetes,"/capita, US$ purchasing power parity",37.8
14807,Greece,2010,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million of national currency units,169.2
14808,Greece,2010,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ purchasing power parity",21.1
14809,Greece,2010,3,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ purchasing power parity",12.6
14810,Greece,2010,3,M01A-Antiinflammatory and antirheumatic products non-steroids,"/capita, US$ exchange rate",12.1
14811,Greece,2010,3,J01-Antibacterials for systemic use,Million of national currency units,366.1
14812,Greece,2010,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins",Million US$ at exchange rate,224.2
14813,Greece,2010,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins","/capita, US$ exchange rate",20.2
14814,Greece,2010,3,"H-Systemic hormonal preparations, excluding sex hormones and insulins","Million US$, purchasing power parity",234.3
14815,Greece,2010,3,C10-Lipid modifying agents,"/capita, US$ exchange rate",64.8
14816,Greece,2010,3,C10-Lipid modifying agents,"/capita, US$ purchasing power parity",67.7
14817,Greece,2010,3,C10-Lipid modifying agents,Million US$ at exchange rate,720.2
14818,Greece,2010,3,C10-Lipid modifying agents,"Million US$, purchasing power parity",752.5
14819,Greece,2010,3,R-Respiratory system,"/capita, US$ purchasing power parity",57.2
14820,Greece,2010,3,M-Musculo-skeletal system,"/capita, US$ exchange rate",37.8
14821,Greece,2010,3,M-Musculo-skeletal system,"/capita, US$ purchasing power parity",39.5
14822,Greece,2010,3,A10-Drugs used in diabetes,"Million US$, purchasing power parity",419.9
14823,Greece,2010,3,N05C-Hypnotics and sedatives,Million US$ at exchange rate,14.2
14824,Greece,2010,3,A10-Drugs used in diabetes,Million US$ at exchange rate,401.9
14825,Greece,2010,3,N05C-Hypnotics and sedatives,Million of national currency units,10.7
14826,Greece,2010,3,N05C-Hypnotics and sedatives,"/capita, US$ purchasing power parity",1.3
14827,Greece,2010,3,C10-Lipid modifying agents,Million of national currency units,543.3
14828,Greece,2010,3,N05C-Hypnotics and sedatives,"Million US$, purchasing power parity",14.8
14829,Greece,2010,3,N05C-Hypnotics and sedatives,"/capita, US$ exchange rate",1.3
14830,Greece,2010,3,C-Cardiovascular system,"Million US$, purchasing power parity",1974.4
14831,Greece,2010,3,C-Cardiovascular system,"/capita, US$ exchange rate",169.9
14832,Greece,2010,3,C09-Agents acting on the Renin-Angiotensin system,Million of national currency units,539.5
14833,Greece,2010,3,C-Cardiovascular system,Million of national currency units,1425.5
14834,Greece,2010,3,C-Cardiovascular system,Million US$ at exchange rate,1889.8
14835,Greece,2010,3,C03-Diuretics,"/capita, US$ purchasing power parity",4.6
14836,Greece,2010,3,C-Cardiovascular system,"/capita, US$ purchasing power parity",177.5
14837,Greece,2010,3,C01A-Cardiac glycosides,"/capita, US$ purchasing power parity",0.2
14838,Greece,2010,3,C09-Agents acting on the Renin-Angiotensin system,Million US$ at exchange rate,715.2
14839,Greece,2010,3,"C01B-Antiarrhythmics, Class I and III","/capita, US$ exchange rate",0.7
14840,Greece,2010,3,"C01B-Antiarrhythmics, Class I and III","/capita, US$ purchasing power parity",0.7
14841,Greece,2010,3,"C01B-Antiarrhythmics, Class I and III","Million US$, purchasing power parity",7.6
14842,Greece,2010,3,A-Alimentary tract and metabolism,Million of national currency units,856.0
14843,Greece,2010,3,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ exchange rate",64.3
14844,Greece,2010,3,C09-Agents acting on the Renin-Angiotensin system,"Million US$, purchasing power parity",747.1
14845,Greece,2010,3,C09-Agents acting on the Renin-Angiotensin system,"/capita, US$ purchasing power parity",67.2
14846,Greece,2010,3,A-Alimentary tract and metabolism,"Million US$, purchasing power parity",1185.5
14847,Greece,2010,3,A-Alimentary tract and metabolism,"/capita, US$ exchange rate",102.0
14848,Greece,2010,3,C07-Beta blocking agents,"/capita, US$ exchange rate",9.7
14849,Greece,2010,3,A02A-Antacids,Million of national currency units,5.8
14850,Greece,2010,3,C07-Beta blocking agents,Million of national currency units,81.2
14851,Greece,2010,3,C07-Beta blocking agents,Million US$ at exchange rate,107.7
14852,Greece,2010,3,A-Alimentary tract and metabolism,Million US$ at exchange rate,1134.8
14853,Greece,2010,3,C01A-Cardiac glycosides,Million US$ at exchange rate,1.6
14854,Greece,2010,3,C02-Antihypertensives,Million of national currency units,41.5
14855,Greece,2010,3,C01A-Cardiac glycosides,Million of national currency units,1.2
14856,Greece,2010,3,C07-Beta blocking agents,"Million US$, purchasing power parity",112.5
14857,Greece,2010,3,C01A-Cardiac glycosides,"Million US$, purchasing power parity",1.7
14858,Greece,2010,3,C02-Antihypertensives,"Million US$, purchasing power parity",57.5
14859,Greece,2010,3,A02A-Antacids,"/capita, US$ purchasing power parity",0.7
14860,Greece,2010,3,C02-Antihypertensives,"/capita, US$ exchange rate",5.0
14861,Greece,2010,3,C02-Antihypertensives,"/capita, US$ purchasing power parity",5.2
14862,Greece,2010,3,A02A-Antacids,"Million US$, purchasing power parity",8.0
14863,Greece,2010,3,A02A-Antacids,Million US$ at exchange rate,7.7
14864,Greece,2010,3,A02A-Antacids,"/capita, US$ exchange rate",0.7
14865,Greece,2010,3,C02-Antihypertensives,Million US$ at exchange rate,55.1
14866,Greece,2010,3,C01A-Cardiac glycosides,"/capita, US$ exchange rate",0.1
14867,Greece,2010,3,A-Alimentary tract and metabolism,"/capita, US$ purchasing power parity",106.6
14868,Greece,2010,3,C03-Diuretics,"Million US$, purchasing power parity",50.8
14869,Greece,2010,3,"C01B-Antiarrhythmics, Class I and III",Million US$ at exchange rate,7.3
14870,Greece,2010,3,"C01B-Antiarrhythmics, Class I and III",Million of national currency units,5.5
14871,Greece,2010,3,C07-Beta blocking agents,"/capita, US$ purchasing power parity",10.1
14872,Greece,2010,3,C03-Diuretics,Million of national currency units,36.7
14873,Greece,2010,3,C03-Diuretics,Million US$ at exchange rate,48.7
14874,Greece,2010,3,C08-Calcium channel blockers,Million of national currency units,94.3
14875,Greece,2010,3,C08-Calcium channel blockers,"/capita, US$ exchange rate",11.2
14876,Greece,2010,3,C08-Calcium channel blockers,Million US$ at exchange rate,125.0
14877,Greece,2010,3,C08-Calcium channel blockers,"Million US$, purchasing power parity",130.6
14878,Greece,2010,3,C08-Calcium channel blockers,"/capita, US$ purchasing power parity",11.7
14879,Greece,2010,3,C03-Diuretics,"/capita, US$ exchange rate",4.4
14880,Greece,2017,3,N02-Analgesics,Million of national currency units,141.8
14881,Greece,2017,3,N05B-Anxiolytics,Million of national currency units,22.2
14882,Greece,2017,3,N05B-Anxiolytics,"/capita, US$ purchasing power parity",3.6
14883,Greece,2017,3,M01A-Antiinflammatory and antirheumatic products non-steroids,Million of national currency units,64.2
14884,Greece,2017,3,M01A-Antiinflammatory and antirheumatic products non-steroids,Million US$ at exchange rate,72.5
14885,Greece,2017,3,N05B-Anxiolytics,Million US$ at exchange rate,25.1
14886,Greece,2017,3,N05B-Anxiolytics,"Million US$, purchasing power parity",38.7
14887,Greece,2017,3,N05B-Anxiolytics,"/capita, US$ exchange rate",2.3
14888,Greece,2017,3,J-Antiinfectives for systemic use,"/capita, US$ exchange rate",68.6
14889,Greece,2017,3,J-Antiinfectives for systemic use,"Million US$, purchasing power parity",1135.8
14890,Greece,2017,3,J-Antiinfectives for systemic use,"/capita, US$ purchasing power parity",105.6
14891,Greece,2017,3,R03-Drugs for obstructive airway diseases,Million of national currency units,267.2
14892,Greece,2017,3,R03-Drugs for obstructive airway diseases,Million US$ at exchange rate,301.8
14893,Greece,2017,3,N02-Analgesics,"/capita, US$ exchange rate",14.9
14894,Greece,2017,3,N02-Analgesics,"/capita, US$ purchasing power parity",22.9
